date,__group,gripe,influenza,gripe a,virus de la gripe,fiebre,tos,mocos,congestión nasal,dolor de garganta,dolor muscular,escalofríos,paracetamol,ibuprofeno,antitérmico,jarabe para la tos,qué hacer si tengo fiebre,qué hacer con la tos
2025-09-29,autocuidado,14.0,,,,,,,,,,,1.2857141938775576,0.9999999285714337,0.0,0.07142856632653098,0.0,0.0
2025-09-29,nucleo,14.0,0.0,0.14285713265306196,0.0,,,,,,,,,,,,,
2025-09-29,sintomas,14.0,,,,1.0714284948979647,0.8571427959183717,0.6428570969387788,0.0,0.2857142653061239,0.07142856632653098,0.0,,,,,,
2025-09-30,autocuidado,18.0,,,,,,,,,,,0.8888888395061756,0.7222221820987677,0.0,0.055555552469135974,0.0,0.0
2025-09-30,nucleo,18.0,0.0,0.1666666574074079,0.055555552469135974,,,,,,,,,,,,,
2025-09-30,sintomas,18.0,,,,0.7777777345679036,0.6111110771604957,0.4444444197530878,0.0,0.1666666574074079,0.055555552469135974,0.0,,,,,,
2025-10-01,autocuidado,16.0,,,,,,,,,,,1.0624999335937542,0.8124999492187531,0.0,0.0,0.0,0.0
2025-10-01,nucleo,16.0,0.0,0.18749998828125072,0.0,,,,,,,,,,,,,
2025-10-01,sintomas,16.0,,,,0.8124999492187531,0.6249999609375024,0.4999999687500019,0.0,0.24999998437500096,0.12499999218750048,0.0,,,,,,
2025-10-02,autocuidado,19.0,,,,,,,,,,,0.9473683711911383,0.8421052188365674,0.0,0.05263157617728546,0.0,0.0
2025-10-02,nucleo,19.0,0.05263157617728546,0.15789472853185638,0.05263157617728546,,,,,,,,,,,,,
2025-10-02,sintomas,19.0,,,,0.7368420664819965,0.5263157617728547,0.4210526094182837,0.05263157617728546,0.21052630470914185,0.10526315235457093,0.0,,,,,,
2025-10-03,autocuidado,15.0,,,,,,,,,,,1.2666665822222278,0.9999999333333378,0.0,0.0,0.0,0.0
2025-10-03,nucleo,15.0,0.0,0.19999998666666757,0.0,,,,,,,,,,,,,
2025-10-03,sintomas,15.0,,,,0.9333332711111153,0.7999999466666703,0.5333332977777802,0.0,0.2666666488888901,0.13333332444444504,0.0,,,,,,
2025-10-04,autocuidado,11.0,,,,,,,,,,,1.5454544049586905,1.4545453223140616,0.0,0.0,0.0,0.0
2025-10-04,nucleo,11.0,0.0,0.1818181652892577,0.0,,,,,,,,,,,,,
2025-10-04,sintomas,11.0,,,,1.3636362396694328,1.272727157024804,0.8181817438016598,0.0,0.3636363305785154,0.1818181652892577,0.0,,,,,,
2025-10-05,autocuidado,12.0,,,,,,,,,,,1.4999998750000105,1.249999895833342,0.0,0.08333332638888948,0.0,0.0
2025-10-05,nucleo,12.0,0.0,0.08333332638888948,0.0,,,,,,,,,,,,,
2025-10-05,sintomas,12.0,,,,1.083333243055563,1.083333243055563,0.7499999375000053,0.0,0.3333333055555579,0.2499999791666684,0.0,,,,,,
2025-10-06,autocuidado,22.0,,,,,,,,,,,0.7272726942148775,0.6363636074380178,0.0,0.045454543388429844,0.0,0.0
2025-10-06,nucleo,22.0,0.0,0.09090908677685969,0.0,,,,,,,,,,,,,
2025-10-06,sintomas,22.0,,,,0.7272726942148775,0.590909064049588,0.36363634710743875,0.0,0.18181817355371938,0.09090908677685969,0.045454543388429844,,,,,,
2025-10-07,autocuidado,19.0,,,,,,,,,,,0.9473683711911383,0.8421052188365674,0.0,0.0,0.0,0.0
2025-10-07,nucleo,19.0,0.0,0.15789472853185638,0.0,,,,,,,,,,,,,
2025-10-07,sintomas,19.0,,,,0.7368420664819965,0.684210490304711,0.4210526094182837,0.05263157617728546,0.21052630470914185,0.10526315235457093,0.0,,,,,,
2025-10-08,autocuidado,17.0,,,,,,,,,,,0.9411764152249167,0.8823528892733594,0.0,0.0,0.0,0.0
2025-10-08,nucleo,17.0,0.0,0.11764705190311459,0.0,,,,,,,,,,,,,
2025-10-08,sintomas,17.0,,,,0.8823528892733594,0.6470587854671302,0.47058820761245834,0.0,0.17647057785467188,0.11764705190311459,0.0,,,,,,
2025-10-09,autocuidado,15.0,,,,,,,,,,,1.0666665955555603,0.9333332711111153,0.0,0.06666666222222252,0.0,0.0
2025-10-09,nucleo,15.0,0.06666666222222252,0.13333332444444504,0.0,,,,,,,,,,,,,
2025-10-09,sintomas,15.0,,,,0.7999999466666703,0.7333332844444478,0.46666663555555765,0.06666666222222252,0.19999998666666757,0.13333332444444504,0.0,,,,,,
2025-10-10,autocuidado,14.0,,,,,,,,,,,1.1428570612244957,0.9999999285714337,0.0,0.07142856632653098,0.0,0.0
2025-10-10,nucleo,14.0,0.0,0.14285713265306196,0.0,,,,,,,,,,,,,
2025-10-10,sintomas,14.0,,,,0.8571427959183717,0.7142856632653098,0.5714285306122479,0.0,0.2857142653061239,0.14285713265306196,0.0,,,,,,
2025-10-11,autocuidado,11.0,,,,,,,,,,,1.6363634876033195,1.6363634876033195,0.0,0.09090908264462885,0.0,0.0
2025-10-11,nucleo,11.0,0.0,0.1818181652892577,0.0,,,,,,,,,,,,,
2025-10-11,sintomas,11.0,,,,1.272727157024804,1.272727157024804,0.636363578512402,0.0,0.3636363305785154,0.09090908264462885,0.0,,,,,,
2025-10-12,autocuidado,12.0,,,,,,,,,,,1.249999895833342,1.249999895833342,0.0,0.0,0.0,0.0
2025-10-12,nucleo,12.0,0.0,0.2499999791666684,0.0,,,,,,,,,,,,,
2025-10-12,sintomas,12.0,,,,0.9999999166666736,1.3333332222222316,0.7499999375000053,0.0,0.3333333055555579,0.08333332638888948,0.0,,,,,,
2025-10-13,autocuidado,18.0,,,,,,,,,,,0.8888888395061756,0.7222221820987677,0.0,0.055555552469135974,0.0,0.0
2025-10-13,nucleo,18.0,0.055555552469135974,0.1666666574074079,0.0,,,,,,,,,,,,,
2025-10-13,sintomas,18.0,,,,0.7222221820987677,0.7222221820987677,0.4444444197530878,0.0,0.2222222098765439,0.11111110493827195,0.0,,,,,,
2025-10-14,autocuidado,22.0,,,,,,,,,,,0.6818181508264477,0.6818181508264477,0.0,0.0,0.0,0.0
2025-10-14,nucleo,22.0,0.0,0.13636363016528952,0.0,,,,,,,,,,,,,
2025-10-14,sintomas,22.0,,,,0.5454545206611581,0.5454545206611581,0.4090908904958686,0.0,0.13636363016528952,0.13636363016528952,0.0,,,,,,
2025-10-15,autocuidado,23.0,,,,,,,,,,,0.6521738846880919,0.6086956257088858,0.0,0.0,0.0,0.0
2025-10-15,nucleo,23.0,0.0,0.17391303591682453,0.0,,,,,,,,,,,,,
2025-10-15,sintomas,23.0,,,,0.5217391077504736,0.5217391077504736,0.34782607183364905,0.0,0.1304347769376184,0.08695651795841226,0.0,,,,,,
2025-10-16,autocuidado,22.0,,,,,,,,,,,0.6818181508264477,0.590909064049588,0.0,0.045454543388429844,0.0,0.0
2025-10-16,nucleo,22.0,0.0,0.18181817355371938,0.0,,,,,,,,,,,,,
2025-10-16,sintomas,22.0,,,,0.5454545206611581,0.590909064049588,0.36363634710743875,0.0,0.13636363016528952,0.09090908677685969,0.0,,,,,,
2025-10-17,autocuidado,20.0,,,,,,,,,,,0.7499999625000018,0.6499999675000016,0.0,0.04999999750000012,0.0,0.0
2025-10-17,nucleo,20.0,0.04999999750000012,0.14999999250000037,0.0,,,,,,,,,,,,,
2025-10-17,sintomas,20.0,,,,0.5999999700000015,0.5999999700000015,0.34999998250000086,0.0,0.14999999250000037,0.09999999500000024,0.0,,,,,,
2025-10-18,autocuidado,13.0,,,,,,,,,,,1.3076922071005996,1.1538460650887643,0.0,0.0,0.0,0.0
2025-10-18,nucleo,13.0,0.0,0.23076921301775286,0.0,,,,,,,,,,,,,
2025-10-18,sintomas,13.0,,,,1.0769229940828466,0.9999999230769291,0.615384568047341,0.07692307100591762,0.3076922840236705,0.15384614201183525,0.0,,,,,,
2025-10-19,autocuidado,13.0,,,,,,,,,,,1.230769136094682,1.0769229940828466,0.0,0.0,0.0,0.0
2025-10-19,nucleo,13.0,0.07692307100591762,0.15384614201183525,0.0,,,,,,,,,,,,,
2025-10-19,sintomas,13.0,,,,1.0769229940828466,0.9999999230769291,0.615384568047341,0.0,0.3076922840236705,0.15384614201183525,0.0,,,,,,
2025-10-20,autocuidado,20.0,,,,,,,,,,,0.7499999625000018,0.6499999675000016,0.0,0.0,0.0,0.0
2025-10-20,nucleo,20.0,0.04999999750000012,0.1999999900000005,0.0,,,,,,,,,,,,,
2025-10-20,sintomas,20.0,,,,0.6499999675000016,0.5999999700000015,0.34999998250000086,0.0,0.14999999250000037,0.09999999500000024,0.0,,,,,,
2025-10-21,autocuidado,20.0,,,,,,,,,,,0.7499999625000018,0.6999999650000017,0.0,0.04999999750000012,0.0,0.0
2025-10-21,nucleo,20.0,0.0,0.14999999250000037,0.0,,,,,,,,,,,,,
2025-10-21,sintomas,20.0,,,,0.5999999700000015,0.5999999700000015,0.29999998500000075,0.0,0.14999999250000037,0.09999999500000024,0.0,,,,,,
2025-10-22,autocuidado,22.0,,,,,,,,,,,0.7272726942148775,0.590909064049588,0.0,0.0,0.0,0.0
2025-10-22,nucleo,22.0,0.045454543388429844,0.18181817355371938,0.0,,,,,,,,,,,,,
2025-10-22,sintomas,22.0,,,,0.6363636074380178,0.5454545206611581,0.3181818037190089,0.0,0.18181817355371938,0.09090908677685969,0.0,,,,,,
2025-10-23,autocuidado,20.0,,,,,,,,,,,0.799999960000002,0.6999999650000017,0.0,0.0,0.0,0.0
2025-10-23,nucleo,20.0,0.0,0.14999999250000037,0.0,,,,,,,,,,,,,
2025-10-23,sintomas,20.0,,,,0.6499999675000016,0.5999999700000015,0.2499999875000006,0.0,0.1999999900000005,0.14999999250000037,0.0,,,,,,
2025-10-24,autocuidado,22.0,,,,,,,,,,,0.7727272376033073,0.590909064049588,0.0,0.045454543388429844,0.0,0.0
2025-10-24,nucleo,22.0,0.045454543388429844,0.18181817355371938,0.0,,,,,,,,,,,,,
2025-10-24,sintomas,22.0,,,,0.6363636074380178,0.49999997727272827,0.27272726033057904,0.0,0.13636363016528952,0.09090908677685969,0.0,,,,,,
2025-10-25,autocuidado,18.0,,,,,,,,,,,0.9444443919753115,0.8333332870370396,0.0,0.0,0.0,0.0
2025-10-25,nucleo,18.0,0.0,0.11111110493827195,0.0,,,,,,,,,,,,,
2025-10-25,sintomas,18.0,,,,0.7222221820987677,0.6666666296296316,0.4444444197530878,0.0,0.1666666574074079,0.11111110493827195,0.0,,,,,,
2025-10-26,autocuidado,14.0,,,,,,,,,,,0.9999999285714337,1.0714284948979647,0.0,0.0,0.0,0.0
2025-10-26,nucleo,14.0,0.07142856632653098,0.14285713265306196,0.0,,,,,,,,,,,,,
2025-10-26,sintomas,14.0,,,,0.8571427959183717,0.7857142295918408,0.42857139795918586,0.0,0.2857142653061239,0.14285713265306196,0.0,,,,,,
2025-10-27,autocuidado,20.0,,,,,,,,,,,0.799999960000002,0.6999999650000017,0.0,0.04999999750000012,0.0,0.0
2025-10-27,nucleo,20.0,0.0,0.14999999250000037,0.0,,,,,,,,,,,,,
2025-10-27,sintomas,20.0,,,,0.6499999675000016,0.5499999725000013,0.29999998500000075,0.0,0.14999999250000037,0.09999999500000024,0.0,,,,,,
2025-10-28,autocuidado,20.0,,,,,,,,,,,0.799999960000002,0.5999999700000015,0.0,0.04999999750000012,0.0,0.0
2025-10-28,nucleo,20.0,0.04999999750000012,0.14999999250000037,0.0,,,,,,,,,,,,,
2025-10-28,sintomas,20.0,,,,0.6499999675000016,0.5999999700000015,0.2499999875000006,0.0,0.14999999250000037,0.09999999500000024,0.0,,,,,,
2025-10-29,autocuidado,19.0,,,,,,,,,,,0.7894736426592819,0.7368420664819965,0.0,0.05263157617728546,0.0,0.0
2025-10-29,nucleo,19.0,0.05263157617728546,0.15789472853185638,0.0,,,,,,,,,,,,,
2025-10-29,sintomas,19.0,,,,0.6315789141274255,0.5789473379501401,0.31578945706371275,0.0,0.15789472853185638,0.10526315235457093,0.05263157617728546,,,,,,
2025-10-30,autocuidado,19.0,,,,,,,,,,,0.7894736426592819,0.684210490304711,0.0,0.05263157617728546,0.0,0.0
2025-10-30,nucleo,19.0,0.05263157617728546,0.15789472853185638,0.0,,,,,,,,,,,,,
2025-10-30,sintomas,19.0,,,,0.684210490304711,0.5789473379501401,0.31578945706371275,0.0,0.10526315235457093,0.10526315235457093,0.0,,,,,,
2025-10-31,autocuidado,17.0,,,,,,,,,,,0.999999941176474,0.8823528892733594,0.0,0.0,0.0,0.0
2025-10-31,nucleo,17.0,0.05882352595155729,0.17647057785467188,0.0,,,,,,,,,,,,,
2025-10-31,sintomas,17.0,,,,0.7647058373702448,0.6470587854671302,0.35294115570934376,0.0,0.11764705190311459,0.05882352595155729,0.0,,,,,,
2025-11-01,autocuidado,13.0,,,,,,,,,,,1.384615278106517,1.3076922071005996,0.0,0.07692307100591762,0.0,0.0
2025-11-01,nucleo,13.0,0.07692307100591762,0.23076921301775286,0.0,,,,,,,,,,,,,
2025-11-01,sintomas,13.0,,,,0.9230768520710114,0.7692307100591762,0.5384614970414233,0.0,0.3076922840236705,0.15384614201183525,0.0,,,,,,
2025-11-02,autocuidado,13.0,,,,,,,,,,,1.3076922071005996,1.1538460650887643,0.0,0.0,0.0,0.0
2025-11-02,nucleo,13.0,0.07692307100591762,0.15384614201183525,0.0,,,,,,,,,,,,,
2025-11-02,sintomas,13.0,,,,0.9999999230769291,0.9999999230769291,0.5384614970414233,0.0,0.23076921301775286,0.23076921301775286,0.0,,,,,,
2025-11-03,autocuidado,18.0,,,,,,,,,,,0.8888888395061756,0.7777777345679036,0.0,0.0,0.0,0.0
2025-11-03,nucleo,18.0,0.11111110493827195,0.2222222098765439,0.0,,,,,,,,,,,,,
2025-11-03,sintomas,18.0,,,,0.7777777345679036,0.6666666296296316,0.3888888672839518,0.0,0.2222222098765439,0.11111110493827195,0.0,,,,,,
2025-11-04,autocuidado,19.0,,,,,,,,,,,0.8947367950138528,0.7368420664819965,0.0,0.05263157617728546,0.0,0.0
2025-11-04,nucleo,19.0,0.05263157617728546,0.21052630470914185,0.0,,,,,,,,,,,,,
2025-11-04,sintomas,19.0,,,,0.7368420664819965,0.6315789141274255,0.31578945706371275,0.0,0.21052630470914185,0.10526315235457093,0.0,,,,,,
2025-11-05,autocuidado,17.0,,,,,,,,,,,0.8823528892733594,0.7058823114186875,0.0,0.0,0.0,0.0
2025-11-05,nucleo,17.0,0.05882352595155729,0.17647057785467188,0.0,,,,,,,,,,,,,
2025-11-05,sintomas,17.0,,,,0.8235293633218022,0.6470587854671302,0.4117646816609011,0.0,0.17647057785467188,0.11764705190311459,0.0,,,,,,
2025-11-06,autocuidado,27.0,,,,,,,,,,,0.5555555349794246,0.48148146364883465,0.0,0.037037035665294975,0.0,0.0
2025-11-06,nucleo,27.0,0.037037035665294975,0.18518517832647488,0.0,,,,,,,,,,,,,
2025-11-06,sintomas,27.0,,,,0.48148146364883465,0.4074073923182447,0.18518517832647488,0.0,0.11111110699588492,0.07407407133058995,0.0,,,,,,
2025-11-07,autocuidado,29.0,,,,,,,,,,,0.5862068763376939,0.48275860404280674,0.0,0.034482757431629055,0.0,0.0
2025-11-07,nucleo,29.0,0.034482757431629055,0.20689654458977433,0.0,,,,,,,,,,,,,
2025-11-07,sintomas,29.0,,,,0.4482758466111777,0.41379308917954866,0.24137930202140337,0.0,0.10344827229488716,0.06896551486325811,0.0,,,,,,
