date,__group,bronquiolitis,vrs,virus respiratorio sincitial,rsv,tos bebé,mocos bebé,fiebre bebé,dificultad respiratoria bebé,sibilancias,broncoespasmo,lavados nasales,suero fisiológico,mucosidad bebé,qué hacer bronquiolitis,tos en niños
2025-09-29,autocuidado,46.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.7608695486767489
2025-09-29,nucleo,47.0,1.0851063598913542,0.0,0.0,,,,,,,,,,,
2025-09-29,sintomas,46.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2025-09-30,autocuidado,52.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2025-09-30,nucleo,53.0,1.8867924172303319,0.6981131943752228,0.0,,,,,,,,,,,
2025-09-30,sintomas,53.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2025-10-01,autocuidado,98.0,,,,,,,,,,0.418367342669721,0.0,0.0,0.0,0.0
2025-10-01,nucleo,100.0,0.9299999907000002,0.0,0.0,,,,,,,,,,,
2025-10-01,sintomas,99.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2025-10-02,autocuidado,55.0,,,,,,,,,,0.5999999890909093,0.0,0.0,0.0,0.0
2025-10-02,nucleo,56.0,1.428571403061225,0.0,0.0,,,,,,,,,,,
2025-10-02,sintomas,55.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2025-10-03,autocuidado,48.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.7291666514756948
2025-10-03,nucleo,49.0,1.2653060966264063,0.0,0.0,,,,,,,,,,,
2025-10-03,sintomas,48.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2025-10-04,autocuidado,53.0,,,,,,,,,,0.6603773460306162,0.0,0.0,0.0,0.0
2025-10-04,nucleo,54.0,0.6666666543209879,0.0,0.0,,,,,,,,,,,
2025-10-04,sintomas,53.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2025-10-05,autocuidado,43.0,,,,,,,,,,0.7906976560302871,0.0,0.0,0.0,0.0
2025-10-05,nucleo,44.0,1.3181817882231412,0.0,0.0,,,,,,,,,,,
2025-10-05,sintomas,43.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2025-10-06,autocuidado,61.0,,,,,,,,,,0.6557376941682346,0.0,0.0,0.0,0.0
2025-10-06,nucleo,62.0,1.096774175858481,0.0,0.0,,,,,,,,,,,
2025-10-06,sintomas,61.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2025-10-07,autocuidado,50.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2025-10-07,nucleo,52.0,1.3846153579881662,0.0,0.0,,,,,,,,,,,
2025-10-07,sintomas,51.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2025-10-08,autocuidado,67.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2025-10-08,nucleo,68.0,0.8235293996539794,0.0,0.0,,,,,,,,,,,
2025-10-08,sintomas,67.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2025-10-09,autocuidado,43.0,,,,,,,,,,0.7441860292049761,0.7674418426176316,0.0,0.0,0.0
2025-10-09,nucleo,44.0,1.3181817882231412,0.0,0.0,,,,,,,,,,,
2025-10-09,sintomas,43.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2025-10-10,autocuidado,37.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2025-10-10,nucleo,38.0,0.9736841849030479,0.0,0.0,,,,,,,,,,,
2025-10-10,sintomas,37.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2025-10-11,autocuidado,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2025-10-11,nucleo,0.0,0.0,0.0,0.0,,,,,,,,,,,
2025-10-11,sintomas,0.0,,,,0.0,0.0,35000000.0,0.0,0.0,0.0,,,,,
2025-10-12,autocuidado,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2025-10-12,nucleo,0.0,0.0,0.0,0.0,,,,,,,,,,,
2025-10-12,sintomas,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2025-10-13,autocuidado,44.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2025-10-13,nucleo,45.0,1.2222221950617291,0.0,0.0,,,,,,,,,,,
2025-10-13,sintomas,44.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2025-10-14,autocuidado,63.0,,,,,,,,,,0.5714285623582768,0.0,0.0,0.0,0.0
2025-10-14,nucleo,64.0,0.781249987792969,0.0,0.49999999218750013,,,,,,,,,,,
2025-10-14,sintomas,63.5,,,,0.0,0.0,0.5468749914550782,0.0,0.0,0.0,,,,,
2025-10-15,autocuidado,29.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2025-10-15,nucleo,30.0,1.3666666211111125,0.0,0.0,,,,,,,,,,,
2025-10-15,sintomas,29.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2025-10-16,autocuidado,36.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2025-10-16,nucleo,37.0,1.7297296829802788,0.0,0.0,,,,,,,,,,,
2025-10-16,sintomas,36.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2025-10-17,autocuidado,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2025-10-17,nucleo,0.0,53000000.0,0.0,0.0,,,,,,,,,,,
2025-10-17,sintomas,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2025-10-18,autocuidado,0.0,,,,,,,,,,39000000.0,0.0,0.0,0.0,0.0
2025-10-18,nucleo,0.0,0.0,0.0,0.0,,,,,,,,,,,
